Case Title,Petitioner,Respondent,Year,Date of Judgment,Bench,Case Type,Statutes Referenced,Citation,Outcome,Headnote,PDF_File,Folder,FullText_Sample
Sangramsinh P Gaekwad Ors vs Shantadevi P Gaekwad Dead Thr Lrs,Sangramsinh P. Gaekwad & Ors.,Shantadevi P. Gaekwad (Dead)thr.Lrs. & Ors.,2005,20 January 2005,,,,AIR 2005 SC 809,,,Sangramsinh_P_Gaekwad_Ors_vs_Shantadevi_P_Gaekwad_Dead_Thr_Lrs_on_20_January_2005_1.PDF,2005,"Sangramsinh P. Gaekwad & Ors vs Shantadevi P. Gaekwad
(Dead)Thr.Lrs. & ... on 20 January, 2005
Equivalent citations: AIR 2005 SUPREME COURT 809, 2005 AIR SCW 790,
2005 CLC 277 (SC), (2005) 1 SCALE 493, 2005 (1) UJ (SC) 284, (2005) 1 JT 581
(SC), 2005 (2) SRJ 350, 2005 (1) JT 581, 2005 (3) COM LJ 385 SC, 2005 (11)
SCC 314, 2005 (1) SLT 644, (2005) 2 GCD 1122 (SC), (2005) 123 COMCAS 566,
(2005) 2 SCJ 346, (2005) 64 CORLA 364, (2005) 1 RECCIVR 561
Author: S.B. Sinha
Bench: N. Santosh Hegde, S.B. Sinha
           CASE NO.:
Appeal (civil)  6359 of 2001
PETITIONER:
Sangramsinh P. Gaekwad & Ors.                           
RESPONDENT:
Shantadevi P. Gaekwad (Dead)thr.Lrs. & Ors.
DATE OF JUDGMENT: 20/01/2005
BENCH:
N. Santosh Hegde & S.B. Sinha
JUDGMENT:
J U D G M E N T W I T H CIVIL APPEAL NOS. 6360 AND 6361 OF 2001 S.B. SINHA, J :
These appeals are directed against a judgment and order dated 9.8.2000 passed by a
Division Bench of the High Court of Gujarat at Ahmedabad in O.J. Appeal Nos. 6, 7
and 8 of 1995 whereby and whereunder the judgment and order dated 17.12.1994
passed by a learned Single Judge of the said Court dismissing Company Petition No.
51 of 1991 filed by the First Respondent herein, was set aside.
BACKGROUND FACTS :
Sir Pratapsinghrao Gaekwad was the Ruler of Baroda. Maharani Shantadevi Gaekwad
was his wife. They had eight children. For certain reasons with which we are not
concerned, the estate of Gaekwad came into the hands of their elder son,
Fatesinghrao P. Gaekwad"
Smt Claude Lila Parulekar vs M S Sakal Papers Pvt Ltd Ors,Smt. Claude-Lila Parulekar,M/s. Sakal Papers Pvt. Ltd. & Ors.,2005,18 March 2005,,,,AIR 2005 SC 4074,,,Smt_Claude_Lila_Parulekar_vs_M_S_Sakal_Papers_Pvt_Ltd_Ors_on_18_March_2005_1.PDF,2005,"Smt. Claude-Lila Parulekar vs M/S. Sakal Papers Pvt. Ltd. & Ors
on 18 March, 2005
Equivalent citations: AIR 2005 SUPREME COURT 4074, 2005 AIR SCW 1892,
2005 CLC 544 (SC), (2005) 3 JT 523 (SC), 2005 (4) SRJ 486, 2005 (3) JT 523,
2006 (1) CTLJ 465, 2005 (2) UJ (SC) 1103, 2005 (4) COM LJ 193 SC, 2005 (3)
SCALE 365, 2005 (11) SCC 73, 205 (3) SLT 380, (2005) 3 SUPREME 46, (2005)
3 SCALE 365, (2005) 3 GCD 2129 (SC), (2005) 124 COMCAS 685, (2005) 2 SCJ
753, (2005) 65 CORLA 317, (2005) 2 BANKCAS 542, (2006) 3 BOM CR 429,
2005 (2) BOM LR 818, 2005 BOM LR 2 818
Author: Ruma Pal
Bench: Ruma Pal, P.Venkatarama Reddi
           CASE NO.:
Appeal (civil)  698-700 of 1995
PETITIONER:
Smt. Claude-Lila Parulekar                       
RESPONDENT:
M/s. Sakal Papers Pvt. Ltd. & Ors.      
DATE OF JUDGMENT: 18/03/2005
BENCH:
Ruma Pal & P.Venkatarama Reddi
JUDGMENT:
J U D G M E N T RUMA PAL, J.
In 1933 Dr. N. B. Parulekar and his wife Shanta, started a Newspaper called Sakal. In 1948, Dr.
Parulekar and Shanta promoted a company known as M/s. Sakal Papers Pvt. Limited, which is the
respondent No.1 and is referred to hereafter as 'the company"". Dr. Parulekar died in 1973. Shanta
died during the pendency of the appeal before this Court. The appeal which is now being prosecuted
by the daughter of Dr. Parulekar and Shanta, arises out of proceedings initiated by Shanta and the
appellant under Section 155 (as it stood in 1986) of the Companies Act, 1956 (referred to hereafter as
'the Act') in the Bombay "
Smt Rani Kusum vs Smt Kanchan Devi And Ors,Smt. Rani Kusum,Smt. Kanchan Devi and Ors.,2005,16 August 2005,,,,AIR 1955 SC 425; AIR 2005 SC 3304; AIR 1965 SC 895,,,Smt_Rani_Kusum_vs_Smt_Kanchan_Devi_And_Ors_on_16_August_2005_1.PDF,2005,"Smt. Rani Kusum vs Smt. Kanchan Devi And Ors on 16 August,
2005
Equivalent citations: AIR 2005 SUPREME COURT 3304, 2005 (6) SCC 619,
2005 AIR SCW 5686, 2005 AIR SCW 3985, 2006 (1) AIR KANT HCR 184, (2006)
1 ALLMR 63 (SC), 2006 (1) ALL MR 63, (2005) 33 ALLINDCAS 85 (SC), 2005 (6)
SCALE 545, (2005) 2 CLR 337 (SC), (2005) 2 MARRILJ 676, (2005) 4 JCR 100
(SC), (2005) 2 CAL LJ 239, 2005 (2) UJ (SC) 1270, 2005 (6) SLT 235, (2007) 1
ACJ 597, 2005 (7) SRJ 343, (2005) 3 BLJ 133, 2005 (33) ALLINDCAS 85, 2005
(6) SCC 705, 2005 (2) CLR 337, 2005 (6) SCALE 454, (2005) 33 ALLINDCAS 32
(SC), (2005) 7 JT 409 (SC), 2005 (8) SRJ 191, 2005 SCFBRC 520, 2005 (6) SLT
281, 2005 (2) ALL CJ 1801, 2005 ALL CJ 3 1801, (2006) 1 TAC 853, (2006) 2
ACC 513, (2006) 1 ALLMR 126 (SC), (2005) 2 CLR 367 (SC), (2005) 5 KHCACJ
278 (SC), (2005) 4 CTC 809 (SC), (2005) 4 JCR 118 (SC), 2005 (3) BLJR 1828,
2005 (2) MARR LJ 676, (2005) ILR (KANT) 4889, (2006) 37 ALLINDCAS 801
(PAT), (2006) 1 CAL HN 6, (2005) 4 JLJR 44, (2005) 3 RECCIVR 783, (2005) 2
DMC 384, (2006) 2 LANDLR 712, (2005) 4 MAD LW 277, (2005) 5 SUPREME
620, (2005) 4 ICC 418, (2005) 6 SCALE 545, (2005) 4 JLJR 53, (2005) 4 KCCR
2683, (2005) 61 ALL LR 132, (2005) 4 CIVLJ 771, (2005) 5 HINDULR 513, (2005)
4 PAT LJR 67, (2005) 6 SCJ 56, (2005) 60 ALL LR 874, (2005) 6 ANDH LT 7,
(2005) 3 CIVILCOURTC 325, (2005) 2 WLC(SC)CVL 385, (2005) 4 ALL WC 3861,
(2005) 4 CIVLJ 544, (2005) 3 CURCC 124, (2006) 1 ORISSA LR 8, (2005) 4 PAT
LJR 126, (2005) 99 REVDEC 616, (2005)"
State Of Andhra Pradesh vs M S Kone Elevators India Ltd,State of Andhra Pradesh,M/s Kone Elevators (India) Ltd.,2005,17 February 2005,,,Article 366,AIR 1958 SC 560; AIR 2005 SC 1581,,,State_Of_Andhra_Pradesh_vs_M_S_Kone_Elevators_India_Ltd_on_17_February_2005_1.PDF,2005,"State Of Andhra Pradesh vs M/S Kone Elevators (India) Ltd on
17 February, 2005
Equivalent citations: AIR 2005 SUPREME COURT 1581, 2005 (3) SCC 389,
2005 AIR SCW 1222, 2005 (2) SLT 679, (2005) 2 JT 314 (SC), 2005 (2) JT 314,
2005 (2) SCALE 178, (2005) 28 ALLINDCAS 467 (SC), (2005) 2 CTC 134 (SC),
(2005) 181 ELT 156, (2005) 123 ECR 189, (2005) 140 STC 22, (2005) 2 SCALE
178, (2005) 3 MAD LJ 40, (2005) 3 SCJ 176, (2005) 59 KANTLJ(TRIB) 23, (2005)
3 SUPREME 85
Bench: S.N. Variava, Ar. Lakshmanan, S.H. Kapadia
           CASE NO.:
Appeal (civil)  6585 of 1999
PETITIONER:
State of Andhra Pradesh                 
RESPONDENT:
M/s Kone Elevators (India) Ltd.         
DATE OF JUDGMENT: 17/02/2005
BENCH:
S.N. VARIAVA,Dr. AR. LAKSHMANAN & S.H. KAPADIA 
JUDGMENT:
J U D G M E N T KAPADIA, J.
The question involved in this civil appeal filed by the department is  whether contracts entered into
and executed by the assessee were contracts for sale and not works-contract.
M/s Kone Elevators (India) Ltd. (hereinafter referred to as ""the assessee"") is a unit of M/s Kone
Corporation, Finland who are one of the pioneers in the manufacture of Hi-tech New Generation
Elevators in the world. M/s Kone Corporation, Finland has its operations spread over 37 countries
in the world. The assessee herein is a registered dealer falling in the jurisdiction of the Commercial
Tax Officer, R.P. Road Circle, Secunderabad, having its head office at 50, Vanagaram Road,
Aynambakkam, Madras, with branches at Vijaywada"
S Brahmanand And Ors vs K R Muthugopal D And Ors,S. Brahmanand and Ors.,K. R. Muthugopal (D) and Ors.,2005,21 October 2005,,,Article 54,AIR 2006 SC 40,set aside,,S_Brahmanand_And_Ors_vs_K_R_Muthugopal_D_And_Ors_on_21_October_2005_1.PDF,2005,"S. Brahmanand And Ors vs K. R. Muthugopal (D) And Ors on 21
October, 2005
Equivalent citations: AIR 2006 SUPREME COURT 40, 2005 AIR SCW 5447,
2006 (1) ALL LJ 303, 2006 (1) AIR JHAR R 107, 2006 (1) AIR KANT HCR 36,
(2005) 9 JT 149 (SC), 2006 SCFBRC 48, (2006) 1 CLR 77 (SC), 2005 (8) SLT
100, 2005 (9) JT 149, (2006) 1 JCR 50 (SC), (2006) 37 ALLINDCAS 28 (SC),
2005 (2) CTLJ 287, 2005 (8) SCALE 587, (2005) 6 ANDH LT 569, 2005 (12) SCC
764, 2005 (10) SRJ 527, ILR(KER) 2006 (1) SC 381, (2005) 4 CURCC 117, (2006)
1 CIVILCOURTC 109, (2005) 4 KER LT 809, (2006) 1 MAD LW 614, (2005) 4
RECCIVR 508, (2006) 1 ICC 479, (2005) 8 SCALE 587, (2006) 1 WLC(SC)CVL
234, (2006) 1 ALL WC 79, (2006) 1 LANDLR 554, (2005) 8 SCJ 307, (2005) 6
ANDHLD 74, (2005) 7 SUPREME 361, (2006) 62 ALL LR 350, (2006) 1 ALL
RENTCAS 20, (2006) 1 CAL HN 136, (2006) 2 CIVLJ 183
Bench: B. N. Srikrishna, C. K. Thakker
           CASE NO.:
Appeal (civil)  6202-6203 of 2004
PETITIONER:
S. Brahmanand and Ors.                                          
RESPONDENT:
K. R. Muthugopal (D) and Ors.                                   
DATE OF JUDGMENT: 21/10/2005
BENCH:
B. N. Srikrishna & C. K. Thakker
JUDGMENT:
J U D G M E N T SRIKRISHNA, J.
These two appeals by special leave impugn the common judgment of the High Court of Kerala
rendered in First appeals AS Nos. 393/97 (E) and 281/97 (E) setting aside the decree made by the
trial court in OS No. 647/95.
The appellants before us were the plaintiffs before the trial court in Original"
S B P Co vs Patel Engineering Ltd Anr,S.B.P. & CO.,PATEL ENGINEERING LTD. & ANR,2005,26 October 2005,,,,,,,S_B_P_Co_vs_Patel_Engineering_Ltd_Anr_on_26_October_2005_1.PDF,2005,"S.B.P. & Co vs Patel Engineering Ltd. & Anr on 26 October, 2005
Author: P.K.Balasubramanyan
Bench: R.C.Lahoti, B.N.Agrawal, Arun Kumar, G.P.Mathur, A.K.Mathur,
P.K.Balasubramanyan
           CASE NO.:
Appeal (civil)  4168 of 2003
PETITIONER:
S.B.P. & CO.
RESPONDENT:
PATEL ENGINEERING LTD. & ANR
DATE OF JUDGMENT: 26/10/2005
BENCH:
R.C.LAHOTI CJI & B.N.AGRAWAL & ARUN KUMAR & G.P.MATHUR & A.K.MATHUR &
P.K.BALASUBRAMANYAN & C.K.THAKKER
JUDGMENT:
JUDGMENT DELIVERED BY:
P.K.BALASUBRAMANYAN, J.
C.K.THAKKER,J.
WITH CIVIL APPEAL NOs.4169/2003, 4170-4173/2003, 4076/2004, 3777/2003
and CIVIL APPEAL NOs.6562,6563-6564,6565-6566 of 2005 of 2005 arising out of
S.L.P. (CIVIL) NOs.3205/2004, 14033- 14034/2004, 21272-21273/2002, P.K.
Balasubramanyan, J.
Leave granted in SLP(C) Nos. 3205/2004, 14033-14034/2004, 21272-273/2002.
1. What is the nature of the function of the Chief Justice or his designate under
Section 11 of the Arbitration and Conciliation Act, 1996 is the question that is posed
before us. The three judges bench decision in Konkan Rly. Corporation Ltd. v. Mehul
Construction Co. as approved by the Constitution Bench in Konkan Railway
Corporation Ltd. and Anr. v. Rani Construction Pvt. Ltd. has taken the view that it is
purely an administrative function, that it is neither judicial nor quasi-judicial and the
Chief Justice or his nominee performing the function under Section 11(6) of the Act,
cannot decide any contentious issue between the parties.
S.B.P. & Co vs Patel Engineering L"
Bharat Sanchar Nigam Ltd Anr vs Union Of India Ors,Bharat Sanchar Nigam Ltd. & Anr.,Union of India & Ors.,2006,2 March 2006,,,"Article 131; Article
136; Article 226; Article 366; Article 32",,set aside,,Bharat_Sanchar_Nigam_Ltd_Anr_vs_Union_Of_India_Ors_on_2_March_2006_1.PDF,2006,"Bharat Sanchar Nigam Ltd. & Anr vs Union Of India & Ors on 2
March, 2006
Author: Ruma Pal
Bench: Ruma Pal, Dalveer Bhandari
           CASE NO.:
Writ Petition (civil)  183 of 2003
PETITIONER:
Bharat Sanchar Nigam Ltd. & Anr.                
RESPONDENT:
Union of India & Ors.                           
DATE OF JUDGMENT: 02/03/2006
BENCH:
Ruma Pal & Dalveer Bhandari
JUDGMENT:
J U D G M E N T WITH CA.N.2408/2002,3329-30/02 WP (C) NOS.227,223, 372, 450/03,468/05
C.A.Nos.5337-38/01,4278-88/02, WP.(C) No.144-45/04 WP (C) No.149/04, 162/05, CA
Nos.6323-25/99, 2517- 18/04, 3086/04, 2471/05 RUMA PAL, J.
The principal question to be decided in these matters is the nature of the transaction by which
mobile phone connections are enjoyed. Is it a sale or is it a service or is it both? If it is a sale then the
States are legislatively competent to levy sales tax on the transaction under Entry 54 List II of the
Seventh Schedule to the Constitution. If it is a service then the Central Government alone can levy
service tax under Entry 97 of List I (or Entry 92C of List I after 2003). And if the nature of the
transaction partakes of the character of both sale and service, then the moot question would be
whether both legislative authorities could levy their separate taxes together or only one of them. The
contenders are the service providers on the one hand and the States on the other. It is the case of the
service providers (who are for the purposes of convenience referred to in this judgment a"
Chief Administrator Puda And Another vs Mrs Shabnam Virk,Chief Administrator PUDA and Another,Mrs. Shabnam Virk,2006,23 March 2006,,SCDRC Appeal,"Consumer Protection Act, 1986; Section 21(b) of the Consumer Protection Act, 1986",AIR 2006 SC 1758,,,Chief_Administrator_Puda_And_Another_vs_Mrs_Shabnam_Virk_on_23_March_2006_1.PDF,2006,"Chief Administrator Puda And Another vs Mrs. Shabnam Virk on
23 March, 2006
Equivalent citations: AIR 2006 SUPREME COURT 1758, 2006 AIR SCW 1943,
2006 (3) ALL LJ 494, (2007) 2 LANDLR 491, (2007) 1 CPR 68, (2007) 1 MAD LW
667, (2006) 4 ALLMR 40 (SC), (2006) 2 ALL WC 1711.2, (2006) 3 CTC 840 (SC),
2006 (3) CTC 840, 2006 (3) SCALE 347, (2006) 40 ALLINDCAS 122 (SC), (2006)
2 UC 1271, 2006 (4) SRJ 414, (2006) 1 CLR 637 (SC), 2006 (4) COM LJ 445 SC,
2006 (2) ALL WC 1711, 2006 (4) SCC 74, 2006 (4) ALL MR 40 NOC, (2006) 2
CAL LJ 188, (2006) 4 CIVLJ 514, (2006) 4 MAH LJ 1, (2006) 4 MPLJ 9, (2006) 3
RAJ LW 1970, (2006) 3 SCJ 720, (2006) 3 SUPREME 44, (2006) 3 SCALE 347,
(2006) 63 ALL LR 351, (2006) 2 LANDLR 1, (2006) 3 PAT LJR 10, (2006) 2
RECCIVR 275, (2006) 2 ICC 754, (2006) 2 WLC(SC)CVL 84, (2006) 2 CPJ 1,
(2006) 5 BOM CR 919
Author: Arijit Pasayat
Bench: Arijit Pasayat, Tarun Chatterjee
           CASE NO.:
Appeal (civil)  3967-3968 of 2004
PETITIONER:
Chief Administrator PUDA and Another            
RESPONDENT:
Mrs. Shabnam Virk                                               
DATE OF JUDGMENT: 23/03/2006
BENCH:
ARIJIT PASAYAT & TARUN CHATTERJEE
JUDGMENT:
J U D G M E N T ARIJIT PASAYAT, J.
Challenge in these appeals is to the order passed by the National Consumer Redressal Commission,
New Delhi (in short the 'Commission'). The Commission held that as delay in handing over the
possession was clearly established and the reasons in price escalation of the house was not proved or
establ"
Inderpreet Singh Kahlon Ors vs State Of Punjab Ors,Inderpreet Singh Kahlon & Ors.,State of Punjab & Ors.,2006,3 May 2006,,SCDRC Appeal,Article 14; Article 320; Article 315,AIR 2006 SC 2571,,,Inderpreet_Singh_Kahlon_Ors_vs_State_Of_Punjab_Ors_on_3_May_2006_1.PDF,2006,"Inderpreet Singh Kahlon & Ors vs State Of Punjab & Ors on 3
May, 2006
Equivalent citations: AIR 2006 SUPREME COURT 2571, 2006 (11) SCC 356,
2006 AIR SCW 3346, (2007) 1 JCR 251 (SC), 2006 (5) SCALE 273, 2006 (7) SRJ
432, (2006) 5 ALL WC 5021, (2007) 6 SERVLR 287, 2006 (3) ALL CJ 1826,
(2006) ILR (KANT) 1, (2006) 3 SCT 25, (2006) 6 SCJ 107, (2006) 5 SCALE 273,
(2006) 4 SUPREME 8, MANU/SC/2433/2006
Author: S.B. Sinha
Bench: S.B. Sinha
           CASE NO.:
Appeal (civil)  3411-3421 of 2005
PETITIONER:
Inderpreet Singh Kahlon & Ors.
RESPONDENT:
State of Punjab & Ors.
DATE OF JUDGMENT: 03/05/2006
BENCH:
S.B. Sinha
JUDGMENT:
J U D G M E N T WITH CIVIL APPEAL NOS. 3422, 3410, 3409, 3405-3408, 3456-59, 3446-3447,
3402, 3449-3455, 3463-64, 3460, 3401, 3445, 3399, 3404, 3444, 3441, 3439, 3428-3436, 3440,
3438, 3442, 3437, 3403, 3427, 3461, 3400, 3477, 3475, 3423, 3448, 3472-74, 3489, 3491 of 2005
and W.P (C) No. 14 of 2004 S.B. SINHA, J.
The framers of the Constitution of India created some Constitutional Institutions to uphold the
Constitutional values; Public Service Commission being one of them. Article 315 of the Constitution
of India mandates that there shall be a Public Service Commission for the Union and a Public
Service Commission for each of the State. Article 320 provides for the functions of the Public Service
Commission stating that it is the duty of the Union Public Service Commission and the State Public
Service Commissions to conduct examinations for appointments to the "
Jagdish Mandal vs State Of Orissa Ors,Jagdish Mandal,State of Orissa & Ors.,2006,11 December 2006,,,,,confirmed,,Jagdish_Mandal_vs_State_Of_Orissa_Ors_on_11_December_2006_1.PDF,2006,"Jagdish Mandal vs State Of Orissa & Ors on 11 December, 2006
Equivalent citations: AIRONLINE 2006 SC 645
Author: R.V. Raveendran
Bench: G. P. Mathur, R. V. Raveendran
           CASE NO.:
Appeal (civil)  5699 of 2006
PETITIONER:
Jagdish Mandal
RESPONDENT:
State of Orissa & Ors.
DATE OF JUDGMENT: 20/K/06
BENCH:
G. P. Mathur & R. V. Raveendran
JUDGMENT:
J U D G M E N T [Arising out of SLP (Civil) No.3196/2006] With CIVIL APPEAL NO.5700/2006
[Arising out of SLP (Civil) No.7817/2006] Laxman Sharma . Appellant Vs. State of Orissa & Others
. Respondents R.V. RAVEENDRAN, J.
Leave granted in both the special leave petitions.
These two appeals by special leave, arise out of a common judgment dated 25.1.2006 passed by the
Orissa High Court allowing Writ Petition (Civil) Nos. 4769/2005 and 4768/2005 filed by Narayan
Mohanty (common fifth respondent in these two appeals). In the said petitions, Narayan Mohanty
had challenged the award of construction contracts to Jagdish Mandal and Laxman Sharma
(respective appellant in these appeals) in Upper Indravati Irrigation Project ('UIIP' for short). The
State, the Executive Engineer (Right Canal Division No.III), the Chief Engineer (UIIP), and
Superintending Engineer (UIIP) who were the common respondents 1 to 4 in the said two writ
petitions hold the same rank in these two appeals.
Facts in SLP [C] No.3196/2006 (re : first stretch)
2. The second Respondent, acting on behalf of the Water Resources Department, State of Orissa,
invited tenders "
Jai Narain Parasurampuria Dead Ors vs Pushpa Devi Saraf Ors,Jai Narain Parasurampuria (Dead) & Ors,Pushpa Devi Saraf & Ors,2006,24 August 2006,,,,,,,Jai_Narain_Parasurampuria_Dead_Ors_vs_Pushpa_Devi_Saraf_Ors_on_24_August_2006_1.PDF,2006,"Jai Narain Parasurampuria (Dead) & Ors vs Pushpa Devi Saraf &
Ors on 24 August, 2006
Equivalent citations: AIRONLINE 2006 SC 576
Author: S.B. Sinha
Bench: S.B. Sinha, P.P. Naolekar
           CASE NO.:
Appeal (civil)  3801 of 1999
PETITIONER:
Jai Narain Parasurampuria (Dead) & Ors
RESPONDENT:
Pushpa Devi Saraf & Ors
DATE OF JUDGMENT: 24/08/2006
BENCH:
S.B. Sinha & P.P. Naolekar
JUDGMENT:
J U D G M E N T With CIVIL APPEAL NO.3802 of 1999 S.B. SINHA, J :
Background facts:
Kanpur is a metropolitan town. The respondents herein were owners of a house
property bearing municipal number 7/169, on a freehold plot bearing No.22,
measuring 2978 sq. yards, situate in Block B, Scheme No.7, Gutaiyya, Swaroop Nagar
in the said town ('the property' for short). The 1st respondent-Pushpa Devi Saraf and
the 2nd respondent-Mohan Lal Saraf intended to promote a company in the name of
the 5th respondent-M/s. Kanpur Exports (P) Ltd. ('the Company' for short). They
filed an application therefor as promoters of the Company on 15.2.1979. They
acquired the property in their capacity of promoters or Directors of the proposed
company from one Shanti Narain Verma by a registered Deed of Sale dated 24.2.1979
at a price of Rs.2 lakhs. The said Deed of Sale contained a clause of re-conveyance of
'the property'.
The Company was incorporated on 19.6.1979. The amount of consideration paid to
said Shanti Narain Verma was repaid by the Company by two cheques of
Rs.1,11,250/- each to Mohan Lal Saraf and Pushpa Dev"
Maruti Udyog Ltd vs Susheel Kumar Gabgotra Anr,Maruti Udyog Ltd,Susheel Kumar Gabgotra & Anr,2006,29 March 2006,,,,AIR 2006 SC 1586,appeal is allowed,,Maruti_Udyog_Ltd_vs_Susheel_Kumar_Gabgotra_Anr_on_29_March_2006_1.PDF,2006,"Maruti Udyog Ltd vs Susheel Kumar Gabgotra & Anr on 29
March, 2006
Equivalent citations: AIR 2006 SUPREME COURT 1586, 2006 (4) SCC 644,
2006 AIR SCW 1681, 2006 (3) AIR KANT HCR 419, 2006 (4) COM LJ 539 SC,
2006 (3) SCALE 611, (2006) 41 ALLINDCAS 97 (SC), 2006 (41) ALLINDCAS 97,
(2007) 1 CPR 64, (2007) 1 MAD LW 649, (2006) 3 ALLMR 193 (SC), (2006) 5
ALL WC 5265, (2006) 4 COMLJ 539, 2006 (2) ALL CJ 1158, 2006 (5) SRJ 207,
2006 ALL CJ 2 1158, (2006) 3 SCJ 664, (2006) 4 MAH LJ 267, (2006) 3
SUPREME 210, (2006) 3 SCALE 611, (2006) 1 WLC(SC)CVL 763, (2006) 2 UC
1209, (2006) 63 ALL LR 477, (2006) 3 MPLJ 30, (2006) 3 RAJ LW 2519,
MANU/SC/1519/2006, (2006) 2 CPJ 3, (2006) 4 BOM CR 266
Author: Arijit Pasayat
Bench: Arijit Pasayat, Tarun Chatterjee
           CASE NO.:
Appeal (civil)  3734 of 2000
PETITIONER:
Maruti Udyog Ltd
RESPONDENT:
Susheel Kumar Gabgotra & Anr
DATE OF JUDGMENT: 29/03/2006
BENCH:
ARIJIT PASAYAT & TARUN CHATTERJEE
JUDGMENT:
J U D G M E N T ARIJIT PASAYAT, J.
Challenge in this appeal is to the judgment rendered by a Division Bench of the J & K High Court at
Jammu dismissing the appeal filed by the appellant under Section 17 of the J&K Consumers
Protection Act, 1988 (in short the 'Act'). Challenge in the said appeal was to the order dated
9.11.1998 passed by the J&K State Consumer Redressal Commission (in short the 'Commission') on
a complaint filed by respondent no.1. In the complaint appellant and respondent no.2 were
impleaded as the opposite parties.
The factual b"
Mr B S N Joshi Sons Ltd vs Nair Coal Services Ltd Ors,Mr. B.S.N. Joshi & Sons Ltd.,Nair Coal Services Ltd. & Ors.,2006,31 October 2006,,,,AIR 2007 SC 437,,,Mr_B_S_N_Joshi_Sons_Ltd_vs_Nair_Coal_Services_Ltd_Ors_on_31_October_2006_1.PDF,2006,"Mr. B.S.N. Joshi & Sons Ltd vs Nair Coal Services Ltd. & Ors on
31 October, 2006
Equivalent citations: AIR 2007 SUPREME COURT 437, 2006 (11) SCC 548,
2006 AIR SCW 5834, 2007 (1) AIR BOM R 230, (2006) 11 SCALE 526, (2007) 1
WLC(SC)CVL 216, 2008 (1) ALLMR (NOC) 3, (2007) 3 BOM CR 744
Author: S.B. Sinha
Bench: S.B. Sinha, Dalveer Bhandari
           CASE NO.:
Appeal (civil)  4613 of 2006
PETITIONER:
Mr. B.S.N. Joshi & Sons Ltd.                                            
RESPONDENT:
Nair Coal Services Ltd. & Ors.                                          
DATE OF JUDGMENT: 31/10/2006
BENCH:
S.B. Sinha & Dalveer Bhandari
JUDGMENT:
J U D G M E N T [Arising out of SLP (Civil) No.24879 of 2005] S.B. SINHA, J :
Leave granted.
A notice inviting tender was issued by the Maharashtra State Electricity Board, now
known as 'Maharashtra State Power General Co. Ltd.' (for short, MAHAGENCO'),
inter alia, for coal liaisoning, quality and quantity supervision for its Thermal Power
Station on 03.03.2005. Indisputably, coal is used as a primary fuel for generation of
electrical energy in the power stations belonging to MAHAGENCO wherefor coal is
procured from various coal mines belonging to Government Companies including
Western Coalfields Ltd., South Eastern Coalfields Ltd., Mahanadi Coal Ltd. and
Singareni Collieries Ltd.
Pursuant to and in furtherance of the said notice inviting tender, Appellant herein as
also Respondent Nos. 1, 4 and 5 submitted their tenders. Tender of Appellant herein
was a"
Nagar Nigam Meerut Appellant vs Al Faheem Meat Exports Pvt Ltd Ors,"Nagar Nigam, Meerut .. Appellant",Al Faheem Meat Exports Pvt. Ltd & Ors. .. Respondents,2006,7 December 2006,,,,,,,Nagar_Nigam_Meerut_Appellant_vs_Al_Faheem_Meat_Exports_Pvt_Ltd_Ors_on_7_December_2006_1.PDF,2006,"Nagar Nigam, Meerut .. Appellant vs Al Faheem Meat Exports
Pvt. Ltd & Ors. .. ... on 7 December, 2006
Author: S.B. Sinha
Bench: S. B. Sinha, Markandey Katju
           CASE NO.:
Appeal (civil)  5673 of 2006
PETITIONER:
Nagar Nigam, Meerut                                     ..      Appellant
RESPONDENT:
Al Faheem Meat Exports Pvt. Ltd & Ors.          ..      Respondents
DATE OF JUDGMENT: 07/12/2006
BENCH:
S. B. Sinha & Markandey Katju
JUDGMENT:
J U D G M E N T (Arising out of SLP(Civil) No. 10174 of 2006) S.B. SINHA, J.
Leave granted.
Nagar Nigam Meerut is before us questioning the legality of a judgment and order dated 29th
March, 2006 passed by a Division Bench of the Allahabad High Court in Civil Misc. Writ Petition
No. 53782 of 2004. Appellant-Corporation is a local authority constituted under Uttar Pradesh
Municipal Corporations Adhiniyam, 1959 (the Act). As a local authority, indisputably it has a large
number of public duties and functions to perform; maintenance of slaughter house being one of
them. Chapter XVI of the Act inter alia provides for regulation of slaughter houses. Sections 422 and
423 of the said Act, which are relevant for the purpose of this case are set out herein below:
""422. Municipal Commissioner's powers in respect of Corporation markets and
slaughterhouse etc. - Subject to the provision of this Act and the rule and bye-laws
framed thereunder the Municipal Commissioner shall have the power  (a) upon
being authorized by the Corporation in that beha"
