Chapter_Number,Chapter_Title,Section_Identifier,Section_Title,Section_Text
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 19 (3)",Power of Central Authority to refer matter for investigation or to other Regulator.,"For the purposes of investigation under sub-section (1), the Central Authority, the Director General or the District Collector may call upon a person referred to in sub-section (1) and also direct him to produce any document or record in his possession."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,Section 20,Power of Central Authority to recall goods etc.,"Where the Central Authority is satisfied on the basis of investigation that there is sufficient evidence to show violation of consumer rights or unfair trade practice by a person, it may pass such order as may be necessary, including— (a) recalling of goods or withdrawal of services which are dangerous, hazardous or unsafe; (b) reimbursement of the prices of goods or services so recalled to purchasers of such goods or services; and (c) discontinuation of practices which are unfair and prejudicial to consumers' interest: Provided that the Central Authority shall give the person an opportunity of being heard before passing an order under this section."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 21 (1)",Power of Central Authority to issue directions and penalties against false or misleading advertisements.,"Where the Central Authority is satisfied after investigation that any advertisement is false or misleading and is prejudicial to the interest of any consumer or is in contravention of consumer rights, it may, by order, issue directions to the concerned trader or manufacturer or endorser or advertiser or publisher, as the case may be, to discontinue such advertisement or to modify the same in such manner and within such time as may be specified in that order."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 21 (2)",Power of Central Authority to issue directions and penalties against false or misleading advertisements.,"Notwithstanding the order passed under sub-section (1), if the Central Authority is of the opinion that it is necessary to impose a penalty in respect of such false or misleading advertisement, by a manufacturer or an endorser, it may, by order, impose on manufacturer or endorser a penalty which may extend to ten lakh rupees: Provided that the Central Authority may, for every subsequent contravention by a manufacturer or endorser, impose a penalty, which may extend to fifty lakh rupees."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 21 (3)",Power of Central Authority to issue directions and penalties against false or misleading advertisements.,"Notwithstanding any order under sub-sections (1) and (2), where the Central Authority deems it necessary, it may, by order, prohibit the endorser of a false or misleading advertisement from making endorsement of any product or service for a period which may extend to one year: Provided that the Central Authority may, for every subsequent contravention, prohibit such endorser from making endorsement in respect of any product or service for a period which may extend to three years."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 21 (4)",Power of Central Authority to issue directions and penalties against false or misleading advertisements.,"Where the Central Authority is satisfied after investigation that any person is found to publish, or is a party to the publication of, a misleading advertisement, it may impose on such person a penalty which may extend to ten lakh rupees."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 21 (5)",Power of Central Authority to issue directions and penalties against false or misleading advertisements.,"No endorser shall be liable to a penalty under sub-sections (2) and (3) if he has exercised due diligence to verify the veracity of the claims made in the advertisement regarding the product or service being endorsed by him."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 21 (6)",Power of Central Authority to issue directions and penalties against false or misleading advertisements.,"No person shall be liable to such penalty if he proves that he had published or arranged for the publication of such advertisement in the ordinary course of his business: Provided that no such defence shall be available to such person if he had previous knowledge of the order passed by the Central Authority for withdrawal or modification of such advertisement."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 21 (7)",Power of Central Authority to issue directions and penalties against false or misleading advertisements.,"While determining the penalty under this section, regard shall be had to the following, namely:— (a) the population and the area impacted or affected by such offence; (b) the frequency and duration of such offence; (c) the vulnerability of the class of persons likely to be adversely affected by such offence; and (d) the gross revenue from the sales effected by virtue of such offence."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 21 (8)",Power of Central Authority to issue directions and penalties against false or misleading advertisements.,"The Central Authority shall give the person an opportunity of being heard before an order under this section is passed."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 22 (1)",Search and seizure.,"For the purpose of conducting an investigation after preliminary inquiry under sub-section (1) of section 19, the Director-General or any other officer authorised by him in this behalf, or the District Collector, as the case may be, may, if he has any reason to believe that any person has violated any consumer rights or committed unfair trade practice or causes any false or misleading advertisement to be made, shall,— (a) enter at any reasonable time into any such premises and search for any document or record or article or any other form of evidence and seize such document, record, article or such evidence; (b) make a note or an inventory of such record or article; or (c) require any person to produce any record, register or other document or article."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 22 (2)",Search and seizure.,"The provisions of the Code of Criminal Procedure, 1973, relating to search and seizure shall apply, as far as may be, for search and seizure under this Act."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 22 (3)",Search and seizure.,"Every document, record or article seized under clause (a) of sub-section (1) or produced under clause (c) of that sub-section shall be returned to the person, from whom they were seized or who produced the same, within a period of twenty days of the date of such seizure or production, as the case may be, after copies thereof or extracts therefrom certified by that person, in such manner as may be prescribed, have been taken."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 22 (4)",Search and seizure.,"Where any article seized under sub-section (1) are subject to speedy or natural decay, the Director-General or such other officer may dispose of the article in such manner as may be prescribed."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 22 (5)",Search and seizure.,"In the case of articles other than the articles referred to in sub-section (4), provisions contained in clause (c) of sub-section (2) of section 38 shall mutatis mutandis apply in relation to analysis or tests."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,Section 23,Designation of any statutory authority or body to function as Central Authority.,"The Central Government may, if it considers necessary, by notification, designate any statutory authority or body to exercise the powers and perform the functions of the Central Authority referred to in section 10."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,Section 24,Appeal.,"A person aggrieved by any order passed by the Central Authority under sections 20 and 21 may file an appeal to the National Commission within a period of thirty days from the date of receipt of such order."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,Section 25,Grants by Central Government.,"The Central Government may, after due appropriation made by Parliament by law in this behalf, make to the Central Authority grants of such sums of money as that Government may think fit for being utilised for the purposes of this Act."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 26 (1)",Accounts and audit.,"The Central Authority shall maintain proper accounts and other relevant records and prepare an annual statement of accounts in such form and manner as may be prescribed in consultation with the Comptroller and Auditor-General of India."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 26 (2)",Accounts and audit.,"The accounts of the Central Authority shall be audited by the Comptroller and Auditor-General of India at such intervals as may be specified by him and any expenditure incurred in connection with such audit shall be payable by the Central Authority to the Comptroller and Auditor-General of India."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 26 (3)",Accounts and audit.,"The Comptroller and Auditor-General of India or any other person appointed by him in connection with the audit of the accounts of the Central Authority shall have the same rights, privileges and authority in connection with such audit as the Comptroller and Auditor-General of India generally has, in connection with the audit of the Government accounts and, in particular, shall have the right to demand the production of books, accounts, connected vouchers and other documents and papers and to inspect any of the offices of the Central Authority."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 26 (4)",Accounts and audit.,"The accounts of the Central Authority as certified by the Comptroller and Auditor-General of India or any other person appointed by him in this behalf together with the audit report thereon shall be forwarded annually to the Central Government which shall cause the same to be laid before each House of Parliament."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 27 (1)",Furnishing of annual reports etc.,"The Central Authority shall prepare once in every year, in such form, manner and at such time as may be prescribed, an annual report giving full account of its activities during the previous year and such other reports and returns, as may be directed, and copies of such report and returns shall be forwarded to the Central Government."
III,CENTRAL CONSUMER PROTECTION AUTHORITY,"Section 27 (2)",Furnishing of annual reports etc.,"A copy of the annual report received under sub-section (1) shall be laid, as soon as may be after it is received, before each House of Parliament."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 28 (1)",Establishment of District Consumer Disputes Redressal Commission.,"The State Government shall, by notification, establish a District Consumer Disputes Redressal Commission, to be known as the District Commission, in each district of the State: Provided that the State Government may, if it deems fit, establish more than one District Commission in a district."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 28 (2)",Establishment of District Consumer Disputes Redressal Commission.,"Each District Commission shall consist of— (a) a President; and (b) not less than two and not more than such number of members as may be prescribed, in consultation with the Central Government."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,Section 29,Qualifications etc. of President and members of District Commission.,"The Central Government may, by notification, make rules to provide for the qualifications, method of recruitment, procedure for appointment, term of office, resignation and removal of the President and members of the District Commission."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,Section 30,Salaries allowances and other terms and conditions of service of President and members of District Commission.,"The State Government may, by notification, make rules to provide for salaries and allowances and other terms and conditions of service of the President, and members of the District Commission."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,Section 31,Transitional provision.,"Any person appointed as President or, as the case may be, a member of the District Commission immediately before the commencement of this Act shall hold office as such as President or, as the case may be, as member till the completion of his term for which he has been appointed."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,Section 32,Vacancy in office of member of District Commission.,"If, at any time, there is a vacancy in the office of the President or member of a District Commission, the State Government may, by notification, direct— (a) any other District Commission specified in that notification to exercise the jurisdiction in respect of that district also; or (b) the President or a member of any other District Commission specified in that notification to exercise the powers and discharge the functions of the President or member of that District Commission also."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 33 (1)",Officers and other employees of District Commission.,"The State Government shall provide the District Commission with such officers and other employees as may be required to assist the District Commission in the discharge of its functions."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 33 (2)",Officers and other employees of District Commission.,"The officers and other employees of the District Commission shall discharge their functions under the general superintendence of the President of the District Commission."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 33 (3)",Officers and other employees of District Commission.,"The salaries and allowances payable to, and the other terms and conditions of service of, the officers and other employees of the District Commission shall be such as may be prescribed."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 34 (1)",Jurisdiction of District Commission.,"Subject to the other provisions of this Act, the District Commission shall have jurisdiction to entertain complaints where the value of the goods or services paid as consideration does not exceed one crore rupees: Provided that where the Central Government deems it necessary so to do, it may prescribe such other value, as it deems fit."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 34 (2)",Jurisdiction of District Commission.,"A complaint shall be instituted in a District Commission within the local limits of whose jurisdiction,— (a) the opposite party or each of the opposite parties, where there are more than one, at the time of the institution of the complaint, ordinarily resides or carries on business or has a branch office or personally works for gain; or (b) any of the opposite parties, where there are more than one, at the time of the institution of the complaint, actually and voluntarily resides, or carries on business or has a branch office, or personally works for gain, provided that in such case the permission of the District Commission is given; or (c) the cause of action, wholly or in part, arises; or (d) the complainant resides or personally works for gain."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 34 (3)",Jurisdiction of District Commission.,"The District Commission shall ordinarily function in the district headquarters and may perform its functions at such other place in the district, as the State Government may, in consultation with the State Commission, notify in the Official Gazette from time to time."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 35 (1)",Manner in which complaint shall be made.,"A complaint, in relation to any goods sold or delivered or agreed to be sold or delivered or any service provided or agreed to be provided, may be filed with a District Commission by— (a) the consumer,— (i) to whom such goods are sold or delivered or agreed to be sold or delivered or such service is provided or agreed to be provided; or (ii) who alleges unfair trade practice in respect of such goods or service; (b) any recognised consumer association, whether the consumer to whom such goods are sold or delivered or agreed to be sold or delivered or such service is provided or agreed to be provided, or who alleges unfair trade practice in respect of such goods or service, is a member of such association or not; (c) one or more consumers, where there are numerous consumers having the same interest, with the permission of the District Commission, on behalf of, or for the benefit of, all consumers so interested; or (d) the Central Government, the Central Authority or the State Government, as the case may be: Provided that the complaint under this sub-section may be filed electronically in such manner as may be prescribed. Explanation.—For the purposes of this sub-section, ""recognised consumer association"" means any voluntary consumer association registered under any law for the time being in force."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 35 (2)",Manner in which complaint shall be made.,"Every complaint filed under sub-section (1) shall be accompanied with such fee and payable in such manner, including electronic form, as may be prescribed."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 36 (1)",Proceedings before District Commission.,"Every proceeding before the District Commission shall be conducted by the President of that Commission and atleast one member thereof, sitting together: Provided that where a member, for any reason, is unable to conduct a proceeding till it is completed, the President and the other member shall continue the proceeding from the stage at which it was last heard by the previous member."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 36 (2)",Proceedings before District Commission.,"On receipt of a complaint made under section 35, the District Commission may, by order, admit the complaint for being proceeded with or reject the same: Provided that a complaint shall not be rejected under this section unless an opportunity of being heard has been given to the complainant: Provided further that the admissibility of the complaint shall ordinarily be decided within twenty-one days from the date on which the complaint was filed."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 36 (3)",Proceedings before District Commission.,"Where the District Commission does not decide the issue of admissibility of the complaint within the period so specified, it shall be deemed to have been admitted."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 37 (1)",Reference to mediation.,"At the first hearing of the complaint after its admission, or at any later stage, if it appears to the District Commission that there exists elements of a settlement which may be acceptable to the parties, except in such cases as may be prescribed, it may direct the parties to give in writing, within five days, consent to have their dispute settled by mediation in accordance with the provisions of Chapter V."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 37 (2)",Reference to mediation.,"Where the parties agree for settlement by mediation and give their consent in writing, the District Commission shall, within five days of receipt of such consent, refer the matter for mediation, and in such case, the provisions of Chapter V, relating to mediation, shall apply."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 38 (1)",Procedure on admission of complaint.,"The District Commission shall, on admission of a complaint, or in respect of cases referred for mediation on failure of settlement by mediation, proceed with such complaint."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 38 (2)",Procedure on admission of complaint.,"Where the complaint relates to any goods, the District Commission shall,— (a) refer a copy of the admitted complaint, within twenty-one days from the date of its admission to the opposite party mentioned in the complaint directing him to give his version of the case within a period of thirty days or such extended period not exceeding fifteen days as may be granted by it; (b) if the opposite party on receipt of a complaint referred to him under clause (a) denies or disputes the allegations contained in the complaint, or omits or fails to take any action to represent his case within the time given by the District Commission, proceed to settle the consumer dispute in the manner specified in clauses (c) to (g); (c) if the complaint alleges a defect in the goods which cannot be determined without proper analysis or test of the goods, obtain a sample of the goods from the complainant, seal it and authenticate it in the manner as may be prescribed and refer the sample so sealed to the appropriate laboratory along with a direction that such laboratory to make an analysis or test, whichever may be necessary, with a view to finding out whether such goods suffer from any defect alleged in the complaint or from any other defect and to report its findings thereon to the District Commission within a period of forty-five days of the receipt of the reference or within such extended period as may be granted by it; (d) before any sample of the goods is referred to any appropriate laboratory under clause (c), require the complainant to deposit to the credit of the Commission such fees as may be specified, for payment to the appropriate laboratory for carrying out the necessary analysis or test in relation to the goods in question; (e) remit the amount deposited to its credit under clause (d) to the appropriate laboratory to enable it to carry out the analysis or test mentioned in clause (c) and on receipt of the report from the appropriate laboratory, it shall forward a copy of the report along with such remarks as it may feel appropriate to the opposite party; (f) if any of the parties disputes the correctness of the findings of the appropriate laboratory, or disputes the correctness of the methods of analysis or test adopted by the appropriate laboratory, require the opposite party or the complainant to submit in writing his objections with regard to the report made by the appropriate laboratory; (g) give a reasonable opportunity to the complainant as well as the opposite party of being heard as to the correctness or otherwise of the report made by the appropriate laboratory and also as to the objection made in relation thereto under clause (f) and issue an appropriate order under section 39."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 38 (3)",Procedure on admission of complaint.,"The District Commission shall, if the complaint admitted by it under sub-section (2) of section 36 relates to goods in respect of which the procedure specified in sub-section (2) cannot be followed, or if the complaint relates to any services,— (a) refer a copy of such complaint to the opposite party directing him to give his version of the case within a period of thirty days or such extended period not exceeding fifteen days as may be granted by the District Commission; (b) if the opposite party, on receipt of a copy of the complaint, referred to him under clause (a) denies or disputes the allegations contained in the complaint, or omits or fails to take any action to represent his case within the time given by the District Commission, it shall proceed to settle the consumer dispute— (i) on the basis of evidence brought to its notice by the complainant and the opposite party, if the opposite party denies or disputes the allegations contained in the complaint, or (ii) ex parte on the basis of evidence brought to its notice by the complainant, where the opposite party omits or fails to take any action to represent his case within the time given by the Commission; (c) decide the complaint on merits if the complainant fails to appear on the date of hearing."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 38 (4)",Procedure on admission of complaint.,"For the purposes of sub-sections (2) and (3), the District Commission may, by order, require an electronic service provider to provide such information, documents or records, as may be specified in that order."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 38 (5)",Procedure on admission of complaint.,"No proceedings complying with the procedure laid down in sub-sections (1) and (2) shall be called in question in any court on the ground that the principles of natural justice have not been complied with."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 38 (6)",Procedure on admission of complaint.,"Every complaint shall be heard by the District Commission on the basis of affidavit and documentary evidence placed on record: Provided that where an application is made for hearing or for examination of parties in person or through video conferencing, the District Commission may, on sufficient cause being shown, and after recording its reasons in writing, allow the same."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 38 (7)",Procedure on admission of complaint.,"Every complaint shall be disposed of as expeditiously as possible and endeavour shall be made to decide the complaint within a period of three months from the date of receipt of notice by opposite party where the complaint does not require analysis or testing of commodities and within five months if it requires analysis or testing of commodities: Provided that no adjournment shall ordinarily be granted by the District Commission unless sufficient cause is shown and the reasons for grant of adjournment have been recorded in writing by the Commission: Provided further that the District Commission shall make such orders as to the costs occasioned by the adjournment as may be specified by regulations: Provided also that in the event of a complaint being disposed of after the period so specified, the District Commission shall record in writing, the reasons for the same at the time of disposing of the said complaint."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 38 (8)",Procedure on admission of complaint.,"Where during the pendency of any proceeding before the District Commission, if it appears necessary, it may pass such interim order as is just and proper in the facts and circumstances of the case."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 38 (9)",Procedure on admission of complaint.,"For the purposes of this section, the District Commission shall have the same powers as are vested in a civil court under the Code of Civil Procedure, 1908 while trying a suit in respect of the following matters, namely:— (a) the summoning and enforcing the attendance of any defendant or witness and examining the witness on oath; (b) requiring the discovery and production of any document or other material object as evidence; (c) receiving of evidence on affidavits; (d) the requisitioning of the report of the concerned analysis or test from the appropriate laboratory or from any other relevant source; (e) issuing of commissions for the examination of any witness, or document; and (f) any other matter which may be prescribed by the Central Government."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 38 (10)",Procedure on admission of complaint.,"Every proceeding before the District Commission shall be deemed to be a judicial proceeding within the meaning of sections 193 and 228 of the Indian Penal Code, and the District Commission shall be deemed to be a criminal court for the purposes of section 195 and Chapter XXVI of the Code of Criminal Procedure, 1973."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 38 (11)",Procedure on admission of complaint.,"Where the complainant is a consumer referred to in sub-clause (v) of clause (5) of section 2, the provisions of Order I Rule 8 of the First Schedule to the Code of Civil Procedure, 1908 shall apply subject to the modification that every reference therein to a suit or decree shall be construed as a reference to a complaint or the order of the District Commission thereon."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 38 (12)",Procedure on admission of complaint.,"In the event of death of a complainant who is a consumer or of the opposite party against whom the complaint has been filed, the provisions of Order XXII of the First Schedule to the Code of Civil Procedure, 1908 shall apply subject to the modification that every reference therein to the plaintiff and the defendant shall be construed as reference to a complainant or the opposite party, as the case may be."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 39 (1)",Findings of District Commission.,"Where the District Commission is satisfied that the goods complained against suffer from any of the defects specified in the complaint or that any of the allegations contained in the complaint about the services or any unfair trade practices, or claims for compensation under product liability are proved, it shall issue an order to the opposite party directing him to do one or more of the following, namely:— (a) to remove the defect pointed out by the appropriate laboratory from the goods in question; (b) to replace the goods with new goods of similar description which shall be free from any defect; (c) to return to the complainant the price, or, as the case may be, the charges paid by the complainant along with such interest on such price or charges as may be decided; (d) to pay such amount as may be awarded by it as compensation to the consumer for any loss or injury suffered by the consumer due to the negligence of the opposite party: Provided that the District Commission shall have the power to grant punitive damages in such circumstances as it deems fit; (e) to pay such amount as may be awarded by it as compensation in a product liability action under Chapter VI; (f) to remove the defects in goods or deficiencies in the services in question; (g) to discontinue the unfair trade practice or restrictive trade practice and not to repeat them; (h) not to offer the hazardous or unsafe goods for sale; (i) to withdraw the hazardous goods from being offered for sale; (j) to cease manufacture of hazardous goods and to desist from offering services which are hazardous in nature; (k) to pay such sum as may be determined by it, if it is of the opinion that loss or injury has been suffered by a large number of consumers who are not identifiable conveniently: Provided that the minimum amount of sum so payable shall not be less than twenty-five per cent. of the value of such defective goods sold or service provided, as the case may be, to such consumers; (l) to issue corrective advertisement to neutralise the effect of misleading advertisement at the cost of the opposite party responsible for issuing such misleading advertisement; (m) to provide for adequate costs to parties; and (n) to cease and desist from issuing any misleading advertisement."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 39 (2)",Findings of District Commission.,"Any amount obtained under sub-section (1) shall be credited to such fund and utilised in such manner as may be prescribed."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 39 (3)",Findings of District Commission.,"In any proceeding conducted by the President and a member and if they differ on any point or points, they shall state the point or points on which they differ and refer the same to another member for hearing on such point or points and the opinion of the majority shall be the order of the District Commission: Provided that the other member shall give his opinion on such point or points referred to him within a period of one month from the date of such reference."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 39 (4)",Findings of District Commission.,"Every order made by the District Commission under sub-section (1) shall be signed by the President and the member who conducted the proceeding: Provided that where the order is made as per majority opinion under sub-section (3), such order shall also be signed by the other member."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,Section 40,Review by District Commission in certain cases.,"The District Commission shall have the power to review any of the order passed by it if there is an error apparent on the face of the record, either of its own motion or on an application made by any of the parties within thirty days of such order."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,Section 41,Appeal against order of District Commission.,"Any person aggrieved by an order made by the District Commission may prefer an appeal against such order to the State Commission on the grounds of facts or law within a period of forty-five days from the date of the order, in such form and manner, as may be prescribed: Provided that the State Commission may entertain an appeal after the expiry of the said period of forty-five days, if it is satisfied that there was sufficient cause for not filing it within that period: Provided further that no appeal by a person, who is required to pay any amount in terms of an order of the District Commission, shall be entertained by the State Commission unless the appellant has deposited fifty per cent. of that amount in the manner as may be prescribed: Provided also that no appeal shall lie from any order passed under sub-section (1) of section 81 by the District Commission pursuant to a settlement by mediation under section 80."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 42 (1)",Establishment of State Consumer Disputes Redressal Commission.,"The State Government shall, by notification, establish a State Consumer Disputes Redressal Commission, to be known as the State Commission, in the State."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 42 (2)",Establishment of State Consumer Disputes Redressal Commission.,"The State Commission shall ordinarily function at the State capital and perform its functions at such other places as the State Government may in consultation with the State Commission notify in the Official Gazette: Provided that the State Government may, by notification, establish regional benches of the State Commission, at such places, as it deems fit."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 42 (3)",Establishment of State Consumer Disputes Redressal Commission.,"Each State Commission shall consist of— (a) a President; and (b) not less than four or not more than such number of members as may be prescribed in consultation with the Central Government."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,Section 43,Qualifications etc. of President and members of State Commission.,"The Central Government may, by notification, make rules to provide for the qualification for appointment, method of recruitment, procedure of appointment, term of office, resignation and removal of the President and members of the State Commission."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,Section 44,Salaries allowances and other terms and conditions of service of President and members of State Commission.,"The State Government may, by notification, make rules to provide for salaries and allowances and other terms and conditions of service of the President and members of the State Commission."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,Section 45,Transitional provision.,"Any person appointed as President or, as the case may be, a member of the State Commission immediately before the commencement of this Act shall hold office as such, as President or member, as the case may be, till the completion of his term."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 46 (1)",Officers and employees of State Commission.,"The State Government shall determine the nature and categories of the officers and other employees required to assist the State Commission in the discharge of its functions and provide the Commission with such officers and other employees as it may think fit."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 46 (2)",Officers and employees of State Commission.,"The officers and other employees of the State Commission shall discharge their functions under the general superintendence of the President."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 46 (3)",Officers and employees of State Commission.,"The salaries and allowances payable to and the other terms and conditions of service of, the officers and other employees of the State Commission shall be such as may be prescribed."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 47 (1)",Jurisdiction of State Commission.,"Subject to the other provisions of this Act, the State Commission shall have jurisdiction— (a) to entertain— (i) complaints where the value of the goods or services paid as consideration, exceeds rupees one crore, but does not exceed rupees ten crore: Provided that where the Central Government deems it necessary so to do, it may prescribe such other value, as it deems fit; (ii) complaints against unfair contracts, where the value of goods or services paid as consideration does not exceed ten crore rupees; (iii) appeals against the orders of any District Commission within the State; and (b) to call for the records and pass appropriate orders in any consumer dispute which is pending before or has been decided by any District Commission within the State, where it appears to the State Commission that such District Commission has exercised a jurisdiction not vested in it by law, or has failed to exercise a jurisdiction so vested or has acted in exercise of its jurisdiction illegally or with material irregularity."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 47 (2)",Jurisdiction of State Commission.,"The jurisdiction, powers and authority of the State Commission may be exercised by Benches thereof, and a Bench may be constituted by the President with one or more members as the President may deem fit: Provided that the senior-most member shall preside over the Bench."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 47 (3)",Jurisdiction of State Commission.,"Where the members of a Bench differ in opinion on any point, the points shall be decided according to the opinion of the majority, if there is a majority, but if the members are equally divided, they shall state the point or points on which they differ, and make a reference to the President who shall either hear the point or points himself or refer the case for hearing on such point or points by one or more of the other members and such point or points shall be decided according to the opinion of the majority of the members who have heard the case, including those who first heard it: Provided that the President or the other members, as the case may be, shall give opinion on the point or points so referred within a period of one month from the date of such reference."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 47 (4)",Jurisdiction of State Commission.,"A complaint shall be instituted in a State Commission within the limits of whose jurisdiction,— (a) the opposite party or each of the opposite parties, where there are more than one, at the time of the institution of the complaint, ordinarily resides or carries on business or has a branch office or personally works for gain; or (b) any of the opposite parties, where there are more than one, at the time of the institution of the complaint, actually and voluntarily resides, or carries on business or has a branch office or personally works for gain, provided in such case, the permission of the State Commission is given; or (c) the cause of action, wholly or in part, arises; or (d) the complainant resides or personally works for gain."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,Section 48,Transfer of cases.,"On the application of the complainant or of its own motion, the State Commission may, at any stage of the proceeding, transfer any complaint pending before a District Commission to another District Commission within the State if the interest of justice so requires."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 49 (1)",Procedure applicable to State Commission.,"The provisions relating to complaints under sections 35, 36, 37, 38 and 39 shall, with such modifications as may be necessary, be applicable to the disposal of complaints by the State Commission."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 49 (2)",Procedure applicable to State Commission.,"Without prejudice to the provisions of sub-section (1), the State Commission may also declare any terms of contract, which is unfair to any consumer, to be null and void."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,Section 50,Review by State Commission in certain cases.,"The State Commission shall have the power to review any of the order passed by it if there is an error apparent on the face of the record, either of its own motion or on an application made by any of the parties within thirty days of such order."
IV,CONSUMER DISPUTES REDRESSAL COMMISSION,"Section 51 (1)",Appeal to National Commission.,"Any person aggrieved by an order made by the State Commission in exercise of its powers conferred by sub-clause (i) or (ii) of clause (a) of sub-section (1) of section 47 may prefer an appeal against such order to the National Commission within a period of thirty days from the date of the order in such form and manner as may be prescribed: Provided that the National Commission shall not entertain the appeal after the expiry of the said period of thirty days unless it is satisfied that there was sufficient cause for not filing it within that period: Provided further that no appeal by a person, who is required to pay any amount in terms of an order of the State Commission, shall be entertained by the National Commission unless the appellant has deposited fifty per cent. of that amount in the manner as may be prescribed."
